customer_id,first_name,last_name,email,city,state,signup_date
1,Kathy,Reid,danielledeleon@example.com,Torresfurt,Colorado,2024-12-21
2,Elizabeth,Gray,george81@example.net,New Michelleberg,California,2023-07-19
3,Kyle,Robertson,zwilliams@example.net,Williamborough,Georgia,2025-07-07
4,Patrick,Obrien,robin87@example.org,Kimberlyfort,New Mexico,2025-04-12
5,Lisa,Townsend,karen39@example.com,Hardyfurt,New Jersey,2026-05-28
6,Alexandra,Rivas,ahill@example.org,Harveyton,Wisconsin,2024-01-05
7,Andrew,Ochoa,barbara67@example.net,New Jeffreystad,West Virginia,2025-05-03
8,Richard,Phillips,parrishsara@example.net,Millerport,Illinois,2024-09-30
9,Marie,Guzman,dunnfrank@example.org,Lucerobury,Idaho,2025-12-29
10,James,Bishop,zhicks@example.com,Patrickburgh,Wyoming,2024-12-10
11,Scott,Garza,huntermichael@example.com,South Charles,Hawaii,2024-08-31
12,Stephen,Holt,kevinwood@example.com,East Susantown,Oklahoma,2025-10-29
13,Lisa,Clark,angelabaker@example.org,Port Jeremy,Colorado,2024-02-13
14,Lisa,Williams,callahantammie@example.net,Ericville,Nevada,2024-07-29
15,Keith,Stephenson,nramsey@example.net,Kimberlyton,Montana,2024-01-20
16,Misty,Moore,robertryan@example.com,Port Michaelstad,Minnesota,2025-02-07
17,James,Hicks,kellibradford@example.com,Holtside,Ohio,2025-09-08
18,Jacqueline,Carter,jamesbrown@example.net,Kathleenton,Illinois,2024-08-04
19,Terri,Browning,rhenry@example.com,South Steven,Michigan,2025-08-24
20,Kimberly,Rowe,olopez@example.net,Smithmouth,Michigan,2025-05-28
21,Tara,Schultz,joshua50@example.org,Herringport,North Dakota,2025-03-17
22,Angela,Meyers,pnelson@example.org,Charleschester,Maryland,2024-04-25
23,Sarah,Bell,maryfoster@example.org,Davisland,Texas,2024-01-10
24,Darryl,Fields,lindagonzalez@example.net,Lake Heatherchester,North Carolina,2023-10-26
25,Brett,Matthews,marksutton@example.com,Lindafurt,Indiana,2023-07-16
26,Christine,Ford,vlee@example.org,Lake Matthewbury,Colorado,2024-09-15
27,Julia,Peterson,brownjennifer@example.org,New Ann,Texas,2025-08-31
28,Dennis,Cohen,johnstonlinda@example.net,South Juan,Washington,2026-02-12
29,James,Russell,tyork@example.net,Piercehaven,Alaska,2025-03-29
30,Laura,Brown,jamiehicks@example.com,North Bethberg,Massachusetts,2026-06-07
31,Sarah,Evans,brittneyblanchard@example.net,North Tom,South Dakota,2023-10-08
32,Matthew,Ellis,liususan@example.com,Port Travis,New Jersey,2024-06-13
33,Michael,Gonzalez,kwilliams@example.org,Amyton,Washington,2025-10-25
34,Chad,Hester,stephen72@example.net,Jennifertown,Missouri,2026-06-10
35,Austin,Lawrence,ecrawford@example.com,Williamside,Iowa,2024-03-24
36,Megan,Herrera,hcampbell@example.net,Oscarstad,Kentucky,2024-04-24
37,Casey,Russell,jordansarah@example.com,Hamiltonton,Louisiana,2024-05-26
38,Selena,Lopez,williamsrebecca@example.org,East Judith,Alaska,2023-10-18
39,Daniel,Flores,tcarlson@example.net,Lake Heidihaven,Vermont,2024-02-04
40,Gregory,West,ashley61@example.org,West Pamela,Oklahoma,2025-02-13
41,Mary,Rodriguez,alyssa84@example.org,West David,South Carolina,2025-12-10
42,David,Holmes,joshua79@example.net,Ethanbury,Connecticut,2023-12-14
43,Brittney,Lewis,perezdonald@example.org,New David,West Virginia,2024-12-15
44,Shane,Graham,stacygreen@example.com,Richardside,Wyoming,2023-08-27
45,Linda,Nelson,katherinewalton@example.net,Meaganville,Alaska,2023-06-24
46,Sara,Walker,wilsondebra@example.com,East Donnaview,Florida,2025-06-24
47,Donna,Hernandez,tanderson@example.net,Krystalstad,Oklahoma,2023-11-23
48,Chad,Wilson,robert32@example.org,North Hannahburgh,Montana,2026-03-29
49,Jonathan,Wright,karendavis@example.net,Port Kathryn,New Hampshire,2024-02-01
50,Christopher,Torres,schroederanne@example.com,Morganfort,Kentucky,2024-05-14
51,Elizabeth,Smith,leslie92@example.com,Mitchellmouth,Ohio,2026-01-31
52,Catherine,Murray,coreydavis@example.net,Kevinshire,Michigan,2024-11-25
53,Colleen,Pitts,xwilliams@example.com,Michaeltown,Indiana,2023-08-19
54,Martin,Jones,mcdanielhoward@example.net,East Carlfurt,Connecticut,2026-05-07
55,Melissa,Jones,btaylor@example.net,Justinport,Alaska,2025-12-13
56,Sara,Maddox,wcarpenter@example.org,Smithstad,Ohio,2024-11-27
57,Ashlee,Orozco,kbeck@example.net,Christophertown,Alabama,2026-05-07
58,Jose,Scott,pcarter@example.org,Matthewfurt,Oklahoma,2024-03-25
59,Dawn,Anderson,ipatrick@example.com,Bradychester,Oregon,2025-04-28
60,Christy,Joyce,michael19@example.net,Rebeccaton,Delaware,2024-12-11
61,Tyrone,Williams,steven50@example.org,Port Michellefurt,Wyoming,2023-07-21
62,Elizabeth,Reeves,mary47@example.net,Grayton,Oregon,2024-03-19
63,Morgan,Stanton,drogers@example.com,Jaredfort,Illinois,2024-12-27
64,Robert,Lyons,billywilliams@example.net,Michellemouth,North Carolina,2024-07-16
65,Jason,Smith,dramirez@example.com,New Richard,West Virginia,2024-04-05
66,William,Ware,virginiasmith@example.org,Michaelbury,Texas,2024-04-19
67,Margaret,Nolan,antonio97@example.org,Heatherport,Texas,2026-02-26
68,Yvonne,Gonzalez,hernandezbenjamin@example.net,Wrighthaven,New Hampshire,2026-01-19
69,Ann,Smith,cynthiawalker@example.com,Lake Daniellebury,New Mexico,2023-12-27
70,Carrie,Foster,rachelrodriguez@example.net,North Savannahmouth,Connecticut,2025-02-20
71,John,Farrell,matthew24@example.net,Toddview,Maine,2025-09-18
72,Jennifer,Howard,tgonzalez@example.org,Port Matthewland,Oregon,2024-09-09
73,John,Bell,christopher45@example.com,New Natalie,Virginia,2023-12-10
74,Jason,Burgess,joseph79@example.net,Perryside,Arkansas,2024-09-20
75,Denise,Wilson,wilsonchristopher@example.com,Karamouth,West Virginia,2024-10-07
76,Matthew,Salazar,douglas40@example.net,West Johntown,Mississippi,2024-04-14
77,Julie,Smith,huntcarolyn@example.net,Karenberg,Rhode Island,2025-11-27
78,Elizabeth,Crane,qcummings@example.org,Brianbury,Washington,2025-02-11
79,Ricardo,Chavez,gmathis@example.com,Gravesport,Tennessee,2026-03-16
